document_id,source,url,publication_timestamp,status,exclusion_reason,page_sha256,detail
bls-2020-03-11-cpi_03112020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/cpi_03112020.htm,2020-03-11T08:30:00-04:00,included,,34f2ac3f3d593a395a41a9141a3f34d8ce840f69ea21bf76de1b88a787b8893c,Minimal passage captured from the named official historical release archive.
bls-2020-03-11-realer_03112020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/realer_03112020.htm,2020-03-11T08:30:00-04:00,included,,f5b7a1fbe70ecae54d6eca51d00cb1a89c73321da842005aadd8811a8e500330,Minimal passage captured from the named official historical release archive.
bls-2020-03-12-ppi_03122020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/ppi_03122020.htm,2020-03-12T08:30:00-04:00,included,,67955b5c3b2fd7f5be151f3c6a14059c2458b6083b347bac5dd2dcf5673dab28,Minimal passage captured from the named official historical release archive.
bls-2020-03-13-ximpim_03132020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/ximpim_03132020.htm,2020-03-13T08:30:00-04:00,included,,b03a2c586c685cf272dacfc7be47ab410bfb5169797cc868e85233bbabe476a9,Minimal passage captured from the named official historical release archive.
bls-2020-03-16-laus_03162020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/laus_03162020.htm,2020-03-16T10:00:00-04:00,included,,bc6bbd0e770e8e54d28dea55a2026f521edd0d3fedf842df76f491486c4676e7,Minimal passage captured from the named official historical release archive.
bls-2020-03-17-jolts_03172020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/jolts_03172020.htm,2020-03-17T10:00:00-04:00,included,,37668dd6d092af9c795ead278ddee53ef2d4e4108ddfad0389673aefc0bfde3c,Minimal passage captured from the named official historical release archive.
bls-2020-03-19-ecec_03192020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/ecec_03192020.htm,2020-03-19T10:00:00-04:00,included,,4232ce1ac21bf1dc833b56e4372732c94599599208e3f26da9a7d512c0e939ab,Minimal passage captured from the named official historical release archive.
bls-2020-03-19-vet_03192020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/vet_03192020.htm,2020-03-19T10:00:00-04:00,included,,b6f3bb08f56f877f4f53eaf9ea9df2a8a665f5a909de7348dcdc340ff4d8fbde,Minimal passage captured from the named official historical release archive.
bls-2020-03-20-metro_03202020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/metro_03202020.htm,2020-03-20T10:00:00-04:00,included,,1f5ccc8a58752cc0cf5cc7e24906d2e5b1e7935046fb5b0ea258fc1fce393578,Minimal passage captured from the named official historical release archive.
bls-2020-03-24-prod3_03242020,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/prod3_03242020.htm,2020-03-24T10:00:00-04:00,included,,378186f637804b5eb97ea3e1fd31696a0a90a98586908c61ac13b0ad3b558bc8,Minimal passage captured from the named official historical release archive.
fed-2020-03-09-bcreg20200309a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200309a.htm,2020-03-09T16:30:00-04:00,included,,077630dbc375cb8405c815b4b320e2e09859e59cfaa6fc294f60d5e8c3c70068,Minimal passage captured from the named official historical release archive.
fed-2020-03-12-bcreg20200312a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200312a.htm,2020-03-12T16:30:00-04:00,included,,e8fa9c6aa975b5142a6ca48363170e8b33bca81c12a7a105225d8c4734e14455,Minimal passage captured from the named official historical release archive.
fed-2020-03-15-monetary20200315b,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200315b.htm,2020-03-15T17:00:00-04:00,included,,501af2851387af5444f4cc316118e612679e45812a0420daa6b77d43b63ee438,Minimal passage captured from the named official historical release archive.
fed-2020-03-15-monetary20200315c,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200315c.htm,2020-03-15T17:00:00-04:00,included,,e33ef15f5697ad2fe05b3051c699bd38c7b935a17feb337949739d347d793977,Minimal passage captured from the named official historical release archive.
fed-2020-03-16-bcreg20200316a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200316a.htm,2020-03-16T09:30:00-04:00,included,,8081dce0f1711543a764d407fa3de6789206dc7ddff7ebb959fba0d2f6c5ef7d,Minimal passage captured from the named official historical release archive.
fed-2020-03-16-monetary20200316a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200316a.htm,2020-03-16T16:30:00-04:00,included,,65101fb0a0a674d1b590119e1b84dcae1036c1cc3cd2e130a6f1a82ac9552b63,Minimal passage captured from the named official historical release archive.
fed-2020-03-17-bcreg20200317a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200317a.htm,2020-03-17T09:15:00-04:00,included,,6077ce99e16be60f68d61cee05948af6f0bf9b58f8470842cca38308325fb4e0,Minimal passage captured from the named official historical release archive.
fed-2020-03-17-monetary20200317a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200317a.htm,2020-03-17T10:45:00-04:00,included,,b4d3b793cb37bb9b610c6fba3dafa6ac0c3c863d97f295fae50603dd313122e0,Minimal passage captured from the named official historical release archive.
fed-2020-03-17-monetary20200317b,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200317b.htm,2020-03-17T18:00:00-04:00,included,,c89a667450434fcf4aa420b1c8270454d6df594fccf8d1f702ea44e21b96b834,Minimal passage captured from the named official historical release archive.
fed-2020-03-18-monetary20200318a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200318a.htm,2020-03-18T23:30:00-04:00,included,,3674de6588a836f712fe544a0eebcbe89a7becbe3f70ccd53a283b44b3473981,Minimal passage captured from the named official historical release archive.
fed-2020-03-19-monetary20200319a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200319a.htm,2020-03-19T08:30:00-04:00,included,,a723c6d670efe39ad6cd533980e9307cc03bb7e4f94017bf53467fd5b844f339,Minimal passage captured from the named official historical release archive.
fed-2020-03-19-monetary20200319b,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200319b.htm,2020-03-19T09:00:00-04:00,included,,66348518a8c3d495c6676bd182bcc100e95b012432a6add9f18012ee411908af,Minimal passage captured from the named official historical release archive.
fed-2020-03-19-monetary20200319c,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200319c.htm,2020-03-19T17:00:00-04:00,included,,2f2bde2f167eaf107e269d1af5aa5750476c6a47e2c83f20789ce4c2d9f8e8c9,Minimal passage captured from the named official historical release archive.
fed-2020-03-20-monetary20200320a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200320a.htm,2020-03-20T10:00:00-04:00,included,,da1197d752532d3dcde6fab80d1c81e3b1f92de9d90085b6d0d1981cd74c1b03,Minimal passage captured from the named official historical release archive.
fed-2020-03-20-monetary20200320b,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200320b.htm,2020-03-20T11:00:00-04:00,included,,c2bbc32781ca8e56537fd35f845f37071ce391f4bdebb28cb5dafde86f849018,Minimal passage captured from the named official historical release archive.
fed-2020-03-22-bcreg20200322a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200322a.htm,2020-03-22T18:00:00-04:00,included,,b268cb741dd2873db885845a0ce85e00100df5b77746b009c72ac90d77426947,Minimal passage captured from the named official historical release archive.
fed-2020-03-23-bcreg20200323a,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200323a.htm,2020-03-23T09:15:00-04:00,included,,254f64772fed2dda1b7cc574afb7539cd8c35f3c590c64da37b4f6c9c1288bb9,Minimal passage captured from the named official historical release archive.
fed-2020-03-23-monetary20200323b,Federal Reserve Board,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200323b.htm,2020-03-23T08:00:00-04:00,included,,64fe3c1d39dbd930fd4f473cfc32eb4dd72078e3c3316f51eddcc2d6e426b10a,Minimal passage captured from the named official historical release archive.
