"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2020-02-28","GWW","W.W. Grainger, Inc.","NYSE","1464254","1497896","347386","4.22",,
"2020-02-28","HCA","HCA Healthcare, Inc.","NYSE","3539712","3616510","2068608","1.71",,
"2020-02-28","HD","Home Depot, Inc.","NYSE","8541410","9501816","5888278","1.45",,
"2020-02-28","HLT","Hilton Worldwide Holdings Inc.","NYSE","6026247","4907147","4024353","1.50",,
"2020-02-28","HON","Honeywell International, Inc.","NYSE","7848129","7649042","3642162","2.15",,
"2020-02-28","HPE","Hewlett Packard Enterprise Com","NYSE","43234907","42911569","10958097","3.95",,
"2020-02-28","IBKR","Interactive Brokers Group, Inc","NNM","6323832","6365592","771311","8.20",,
"2020-02-28","IBM","International Business Machine","NYSE","18670312","18930938","5666845","3.29",,
"2020-02-28","ICE","Intercontinental Exchange  Inc","NYSE","4488570","4384457","3458734","1.30",,
"2020-02-28","INTC","Intel Corporation Common Stock","NNM","47714258","47666089","29313043","1.63",,
"2020-02-28","INTU","Intuit Inc. Common Stock","NNM","2851536","2983857","1854723","1.54",,
"2020-02-28","ISRG","Intuitive Surgical, Inc. Commo","NNM","2007339","1887333","898785","2.23",,
"2020-02-28","ITW","Illinois Tool Works Inc.","NYSE","7201958","6694820","1556404","4.63",,
"2020-02-28","JNJ","Johnson & Johnson","NYSE","16625280","18159956","10243703","1.62",,
"2020-02-28","JPM","JPMorgan Chase & Co.","NYSE","24737421","24456700","17940450","1.38",,
"2020-02-28","KKR","KKR & Co. Inc. Class A Common","NYSE","11949938","11945836","3706890","3.22",,
"2020-02-28","KLAC","KLA Corporation Common Stock","NNM","2211528","2210800","2242982","1.00",,
"2020-02-28","KMI","Kinder Morgan, Inc.","NYSE","33101361","32364136","18680459","1.77",,
"2020-02-28","KO","Coca-Cola Company","NYSE","34548949","38342179","16177521","2.14",,
"2020-02-28","LIN","Linde plc Ordinary Share","NYSE","5494372","5376849","2558337","2.15",,
"2020-02-28","LLY","Eli Lilly & Co.","NYSE","10892998","12248540","4137666","2.63",,
"2020-02-28","LMT","Lockheed Martin Corp.","NYSE","3519184","3829273","1496145","2.35",,
"2020-02-28","LOW","Lowe's Companies Inc.","NYSE","12497769","9982621","6515457","1.92",,
"2020-02-28","LRCX","Lam Research Corporation Commo","NNM","3456773","4244110","2488450","1.39",,
"2020-02-28","MA","Mastercard Incorporated","NYSE","6741004","6430578","8062870","1.00",,
"2020-02-28","MAR","Marriott International Class A","NNM","6365743","6312856","3810945","1.67",,
"2020-02-28","MCD","McDonald''s Corporation","NYSE","8815769","7607448","4650293","1.90",,
"2020-02-28","MCK","McKesson Corporation","NYSE","18863037","7908837","5406072","3.49",,
"2020-02-28","MCO","Moody's Corporation","NYSE","2474610","2385434","1192771","2.07",,
"2020-02-28","MDLZ","Mondelez International, Inc. C","NNM","13475080","14643093","8356754","1.61",,
"2020-02-28","MDT","Medtronic plc","NYSE","9958879","10099236","7160617","1.39",,
"2020-02-28","MMM","3M Company","NYSE","9225561","9290653","5043775","1.83",,
"2020-02-28","MNST","Monster Beverage Corporation","NNM","7378384","9261792","3978969","1.85",,
"2020-02-28","MO","Altria Group, Inc.","NYSE","12889612","14738540","12900330","1.00",,
"2020-02-28","MPC","MARATHON PETROLEUM CORPORATION","NYSE","17610504","16959254","9441863","1.87",,
"2020-02-28","MPWR","Monolithic Power Systems, Inc.","NNM","1017014","854595","365245","2.78",,
"2020-02-28","MRK","Merck & Co., Inc.","NYSE","20780382","22555495","13341912","1.56",,
"2020-02-28","MRVL","Marvell Technology Group Ltd.","NNM","27383289","27841736","11724168","2.34",,
"2020-02-28","MS","Morgan Stanley","NYSE","38216948","16917009","26819239","1.42",,
"2020-02-28","MSFT","Microsoft Corporation Common S","NNM","37031775","56193866","58388230","1.00",,
"2020-02-28","MSI","Motorola Solutions, Inc. New","NYSE","2098401","2353292","1140567","1.84",,
"2020-02-28","MU","Micron Technology, Inc. Common","NNM","23508867","22827522","30251082","1.00",,
"2020-02-28","NEE","Nextra Energy, Inc.","NYSE","6748272","5600226","3436576","1.96",,
"2020-02-28","NEM","Newmont Corporation","NYSE","16986949","14894951","11894208","1.43",,
"2020-02-28","NET","Cloudflare, Inc. Class A commo","NYSE","5239884","5163888","5437039","1.00",,
"2020-02-28","NFLX","Netflix, Inc. Common Stock","NNM","19041477","19660890","6935756","2.75",,
"2020-02-28","NKE","Nike, Inc.","NYSE","10526359","8921581","8884694","1.18",,
"2020-02-28","NOC","Northrop Grumman Corp.","NYSE","1595318","1600236","1324199","1.20",,
"2020-02-28","NOW","SERVICENOW, INC.","NYSE","6841709","7034444","1982714","3.45",,
"2020-02-28","NSC","Norfolk Southern Corp.","NYSE","3672156","3581610","1909729","1.92",,
"2020-02-28","NVDA","NVIDIA Corporation Common Stoc","NNM","9031059","10901963","21042212","1.00",,
"2020-02-28","O","Realty Income Corporation","NYSE","9688029","9826176","4330642","2.24",,
"2020-02-28","ORCL","Oracle Corp","NYSE","38027579","38848409","12155009","3.13",,
"2020-02-28","ORLY","O'Reilly Automotive, Inc. Comm","NNM","1099871","1013136","988487","1.11",,
"2020-02-28","PANW","PALO ALTO NETWORKS, INC","NYSE","7608574","2692291","3047808","2.50",,
"2020-02-28","PCAR","PACCAR Inc. Common Stock","NNM","5070652","5643758","2252514","2.25",,
"2020-02-28","PEP","PepsiCo, Inc. Common Stock","NNM","10960810","12320012","6316924","1.74",,
"2020-02-28","PFE","Pfizer Inc.","NYSE","53667518","58668786","37994651","1.41",,
"2020-02-28","PG","Procter & Gamble Company","NYSE","21136526","19900952","9526725","2.22",,
"2020-02-28","PGR","Progressive Corporation","NYSE","5258535","6447891","3816910","1.38",,
"2020-02-28","PH","Parker-Hannifin Corporation","NYSE","2023215","2273030","1327450","1.52",,
"2020-02-28","PLD","PROLOGIS, INC.","NYSE","8433271","9461860","5112640","1.65",,
"2020-02-28","PM","Philip Morris International In","NYSE","12268354","12161040","6723186","1.82",,
"2020-02-28","PNC","PNC Financial Services Group","NYSE","5266787","4763817","2531177","2.08",,
"2020-02-28","PSX","PHILLIPS 66","NYSE","5613393","5515421","4271264","1.31",,
"2020-02-28","PWR","Quanta Services, Inc.","NYSE","6816401","6188410","2020850","3.37",,
