"settlementDate","symbolCode","issueName","marketClassCode","currentShortPositionQuantity","previousShortPositionQuantity","averageDailyVolumeQuantity","daysToCoverQuantity","stockSplitFlag","revisionFlag"
"2024-07-31","CSX","CSX Corporation Common Stock","NNM","25121939","29487669","11134722","2.26",,
"2024-07-31","CTAS","Cintas Corporation Common Stoc","NNM","1351783","1457669","476619","2.84",,
"2024-07-31","CVNA","Carvana Co.","NYSE","15059972","18845763","4343967","3.47",,
"2024-07-31","CVS","CVS HEALTH CORPORATION","NYSE","19988081","17816744","9756844","2.05",,
"2024-07-31","CVX","Chevron Corporation","NYSE","50141460","49188935","6058388","8.28",,
"2024-07-31","D","Dominion Energy, Inc Common St","NYSE","15438150","15406394","3385248","4.56",,
"2024-07-31","DASH","DoorDash, Inc. Class A Common","NNM","11850345","13921192","4514803","2.62",,
"2024-07-31","DDOG","Datadog, Inc. Class A Common S","NNM","8303950","9852980","3478609","2.39",,
"2024-07-31","DE","Deere & Company","NYSE","3745803","3223692","1487781","2.52",,
"2024-07-31","DELL","Dell Technologies Inc.","NYSE","8949780","9941943","10845603","1.00",,
"2024-07-31","DHR","Danaher Corporation","NYSE","6161401","6547380","3559757","1.73",,
"2024-07-31","DIS","The Walt Disney Company","NYSE","22027274","22357111","11662677","1.89",,
"2024-07-31","DLR","Digital Realty Trust, Inc.","NYSE","8576401","9741524","1850026","4.64",,
"2024-07-31","DUK","Duke Energy Corporation","NYSE","8796645","9402570","2812649","3.13",,
"2024-07-31","ECL","Ecolab, Inc.","NYSE","1832595","1692831","1111472","1.65",,
"2024-07-31","ELV","Elevance Health, Inc.","NYSE","1999697","1760245","1625813","1.23",,
"2024-07-31","EMR","Emerson Electric Co.","NYSE","7045302","6909554","2474669","2.85",,
"2024-07-31","EOG","EOG Resources, Inc.","NYSE","10158214","10133360","2583758","3.93",,
"2024-07-31","EPD","Enterprise Products Partners L","NYSE","10880028","13319486","5501910","1.98",,
"2024-07-31","EQIX","Equinix, Inc. Common Stock REI","NNM","1451974","1611652","404071","3.59",,
"2024-07-31","FCX","Freeport-McMoran Inc.","NYSE","21513784","19814503","13426469","1.60",,
"2024-07-31","FDX","FedEx Corporation","NYSE","2738946","4009077","1486411","1.84",,
"2024-07-31","FTNT","Fortinet, Inc. Common Stock","NNM","17112888","17003384","5224814","3.28",,
"2024-07-31","GD","General Dynamics Corporation","NYSE","1798945","1709782","1315839","1.37",,
"2024-07-31","GE","GE Aerospace","NYSE","9948390","11114365","7105368","1.40",,
"2024-07-31","GEV","GE Vernova Inc.","NYSE","4049411","4392773","3590770","1.13",,
"2024-07-31","GILD","Gilead Sciences, Inc. Common S","NNM","17844574","21250019","6636494","2.69",,
"2024-07-31","GLW","Corning Incorporated","NYSE","14490268","18602979","9616792","1.51",,
"2024-07-31","GM","General Motors Company","NYSE","35134681","42540322","17697869","1.99",,
"2024-07-31","GOOG","Alphabet Inc. Class C Capital","NNM","40721420","45714908","19061773","2.14",,
"2024-07-31","GOOGL","Alphabet Inc. Class A Common S","NNM","65675575","71534234","28406022","2.31",,
"2024-07-31","GS","Goldman Sachs Group Inc.","NYSE","5610953","5534484","2441317","2.30",,
"2024-07-31","GWW","W.W. Grainger, Inc.","NYSE","1444342","1442757","245331","5.89",,
"2024-07-31","HCA","HCA Healthcare, Inc.","NYSE","2555281","2365090","1649172","1.55",,
"2024-07-31","HD","Home Depot, Inc.","NYSE","9124106","8632911","3029826","3.01",,
"2024-07-31","HLT","Hilton Worldwide Holdings Inc.","NYSE","3812398","3639690","1579436","2.41",,
"2024-07-31","HON","Honeywell International Inc. C","NNM","5812906","7114311","3418866","1.70",,
"2024-07-31","HOOD","Robinhood Markets, Inc. Class","NNM","33959193","30364513","12097173","2.81",,
"2024-07-31","HPE","Hewlett Packard Enterprise Com","NYSE","24797996","24179637","9779531","2.54",,
"2024-07-31","HWM","Howmet Aerospace Inc.","NYSE","6939127","10072541","3844182","1.81",,
"2024-07-31","IBKR","Interactive Brokers Group, Inc","NNM","2252816","2450331","1230137","1.83",,
"2024-07-31","IBM","International Business Machine","NYSE","20649542","21506626","4360197","4.74",,
"2024-07-31","ICE","Intercontinental Exchange  Inc","NYSE","5765305","6042002","2868906","2.01",,
"2024-07-31","INTC","Intel Corporation Common Stock","NNM","91160118","94940855","54463548","1.67",,
"2024-07-31","INTU","Intuit Inc. Common Stock","NNM","3398112","3741427","1219701","2.79",,
"2024-07-31","ISRG","Intuitive Surgical, Inc. Commo","NNM","3386475","4304015","2132842","1.59",,
"2024-07-31","ITW","Illinois Tool Works Inc.","NYSE","5342279","5285757","1219747","4.38",,
"2024-07-31","JNJ","Johnson & Johnson","NYSE","18848671","17985418","8078881","2.33",,
"2024-07-31","JPM","JPMorgan Chase & Co.","NYSE","25030221","22577873","8572291","2.92",,
"2024-07-31","KKR","KKR & Co. Inc.","NYSE","12859473","16979340","4022932","3.20",,
"2024-07-31","KLAC","KLA Corporation Common Stock","NNM","2013157","2549745","1226870","1.64",,
"2024-07-31","KMI","Kinder Morgan, Inc.","NYSE","42962245","43808821","20292785","2.12",,
"2024-07-31","KO","Coca-Cola Company","NYSE","33076238","31179764","12843318","2.58",,
"2024-07-31","LIN","Linde plc Ordinary Shares","NNM","4920717","4654595","1452809","3.39",,
"2024-07-31","LLY","Eli Lilly & Co.","NYSE","5409020","6314668","3699038","1.46",,
"2024-07-31","LMT","Lockheed Martin Corp.","NYSE","2513479","1711501","1376092","1.83",,
"2024-07-31","LOW","Lowe's Companies Inc.","NYSE","9638926","9037886","2495277","3.86",,
"2024-07-31","LRCX","Lam Research Corporation Commo","NNM","2097865","2542744","1335769","1.57",,
"2024-07-31","MA","Mastercard Incorporated","NYSE","5175939","4408893","2729058","1.90",,
"2024-07-31","MAR","Marriott International Class A","NNM","5831751","5641116","1599048","3.65",,
"2024-07-31","MCD","McDonald's Corporation","NYSE","10363067","9817294","4372367","2.37",,
"2024-07-31","MCK","McKesson Corporation","NYSE","1889263","1850913","665458","2.84",,
"2024-07-31","MCO","Moody's Corporation","NYSE","1395076","1746629","1020752","1.37",,
"2024-07-31","MDLZ","Mondelez International, Inc. C","NNM","12542029","14586549","6306238","1.99",,
"2024-07-31","MDT","Medtronic plc","NYSE","13416612","13680567","6882561","1.95",,
"2024-07-31","META","Meta Platforms, Inc. Class A C","NNM","27863566","29858953","16077829","1.73",,
"2024-07-31","MMM","3M Company","NYSE","8204395","7667107","6916455","1.19",,
"2024-07-31","MNST","Monster Beverage Corporation","NNM","23169119","23380962","5420619","4.27",,
"2024-07-31","MO","Altria Group, Inc.","NYSE","25045991","25613516","8420704","2.97",,
"2024-07-31","MPC","MARATHON PETROLEUM CORPORATION","NYSE","7985675","7911279","2402288","3.32",,
"2024-07-31","MPWR","Monolithic Power Systems, Inc.","NNM","1320614","1748418","655293","2.02",,
"2024-07-31","MRK","Merck & Co., Inc.","NYSE","26717858","24568947","10695372","2.50",,
"2024-07-31","MRVL","Marvell Technology, Inc. Commo","NNM","35532335","37388842","10686385","3.33",,
"2024-07-31","MS","Morgan Stanley","NYSE","16393758","12991484","8595863","1.91",,
"2024-07-31","MSFT","Microsoft Corporation Common S","NNM","57774674","61931266","23153933","2.50",,
"2024-07-31","MSI","Motorola Solutions, Inc. New","NYSE","1624263","1791019","553101","2.94",,
"2024-07-31","MU","Micron Technology, Inc. Common","NNM","23169385","24054703","22761041","1.02",,
"2024-07-31","NEE","Nextra Energy, Inc.","NYSE","32387845","33661098","10448543","3.10",,
"2024-07-31","NEM","Newmont Corporation","NYSE","17073998","17307183","8160423","2.09",,
"2024-07-31","NET","Cloudflare, Inc. Class A commo","NYSE","9460520","8764963","2442215","3.87",,
"2024-07-31","NFLX","Netflix, Inc. Common Stock","NNM","6488690","7387665","4391026","1.48",,
"2024-07-31","NKE","Nike, Inc.","NYSE","23022782","23735867","13654512","1.69",,
"2024-07-31","NOC","Northrop Grumman Corp.","NYSE","1409881","1256797","1038198","1.36",,
"2024-07-31","NOW","SERVICENOW, INC.","NYSE","3056446","3270712","1896102","1.61",,
"2024-07-31","NSC","Norfolk Southern Corp.","NYSE","1933980","2755581","1436999","1.35",,
"2024-07-31","NVDA","NVIDIA Corporation Common Stoc","NNM","275196949","280295880","319735898","1.00",,
"2024-07-31","ORCL","Oracle Corp","NYSE","15545412","14416859","6591244","2.36",,
"2024-07-31","ORLY","O'Reilly Automotive, Inc. Comm","NNM","1381935","1187797","438163","3.15",,
"2024-07-31","PANW","Palo Alto Networks, Inc. Commo","NNM","11139431","11171902","2329920","4.78",,
"2024-07-31","PCAR","PACCAR Inc. Common Stock","NNM","13185118","13620182","4009974","3.29",,
"2024-07-31","PEP","PepsiCo, Inc. Common Stock","NNM","16714731","18699383","5429887","3.08",,
"2024-07-31","PFE","Pfizer Inc.","NYSE","65334514","55701935","41808499","1.56",,
"2024-07-31","PG","Procter & Gamble Company","NYSE","19921249","19060802","7430214","2.68",,
"2024-07-31","PGR","Progressive Corporation","NYSE","5032068","4663221","2767045","1.82",,
"2024-07-31","PH","Parker-Hannifin Corporation","NYSE","1025402","1341210","709116","1.45",,
"2024-07-31","PLD","PROLOGIS, INC.","NYSE","11564805","11788172","4283396","2.70",,
"2024-07-31","PLTR","Palantir Technologies Inc. Cla","NYSE","63446106","81122898","42387892","1.50",,
"2024-07-31","PM","Philip Morris International In","NYSE","9124673","8448399","5486350","1.66",,
"2024-07-31","PNC","PNC Financial Services Group","NYSE","4958415","6318991","2235013","2.22",,
"2024-07-31","PSX","PHILLIPS 66","NYSE","8118428","8790408","2111246","3.85",,
"2024-07-31","PWR","Quanta Services, Inc.","NYSE","4240157","4304742","1149617","3.69",,
"2024-07-31","QCOM","QUALCOMM Incorporated Common S","NNM","30223007","28566603","10503862","2.88",,
"2024-07-31","RCL","Royal Caribbean Group","NYSE","16244081","16501919","2772639","5.86",,
"2024-07-31","REGN","Regeneron Pharmaceuticals, Inc","NNM","2010425","1892424","389373","5.16",,
"2024-07-31","ROST","Ross Stores, Inc. Common Stock","NNM","3051261","3799365","1958700","1.56",,
"2024-07-31","RSG","Republic Services Inc.","NYSE","2515617","2689865","1385128","1.82",,
