scope,horizon_days,baseline,split_id,rows,event_days,non_event_days,event_rate,event_episodes,log_loss,brier_score,pr_auc,roc_auc,calibration_intercept,calibration_slope,top_risk_decile_rows,top_risk_decile_event_days,event_capture_top_risk_decile
development,5,B0,all,4528,416,4112,0.0918727915194,99,0.334304956055,0.0860884029949,0.0785248015316,0.398416746951,-4.18010137808,-0.64417967351,453,9,0.0216346153846
development,5,B1,all,4528,416,4112,0.0918727915194,99,0.343100496855,0.0895400303809,0.300466523568,0.770700728169,-1.53313926638,0.368507667213,453,148,0.355769230769
development,5,B2,all,4528,416,4112,0.0918727915194,99,0.943965749031,0.1684983972,0.279848579064,0.787990941148,-2.21225140817,0.176791597107,453,146,0.350961538462
development,20,B0,all,4528,404,4124,0.089222614841,33,0.333380902727,0.0841558543768,0.0761796990653,0.388455407131,-4.15669375391,-0.600199035171,453,6,0.0148514851485
development,20,B1,all,4528,404,4124,0.089222614841,33,0.29661788952,0.0805604562315,0.373668051558,0.81062975963,-1.34378825389,0.463579994571,453,172,0.425742574257
development,20,B2,all,4528,404,4124,0.089222614841,33,0.61330952778,0.112980146233,0.248501278928,0.739614644054,-1.78744655746,0.171852064556,453,152,0.376237623762
holdout,5,B0,all,748,31,717,0.0414438502674,17,0.183145848659,0.0410019623822,0.0414438502674,0.5,-0.65952604089,,75,3,0.0967741935484
holdout,5,B1,all,748,31,717,0.0414438502674,17,0.171172058266,0.0396985476275,0.0966269357341,0.635713321636,0.319562350524,1.27311575469,75,4,0.129032258065
holdout,5,B2,all,748,31,717,0.0414438502674,17,0.171455637443,0.0402444889909,0.0785364175201,0.654969181626,-1.03958300702,0.738538408115,75,6,0.193548387097
holdout,20,B0,all,733,9,724,0.012278308322,1,0.107016794417,0.0158160061549,0.012278308322,0.5,-1.84623460403,,74,0,0
holdout,20,B1,all,733,9,724,0.012278308322,1,0.0943195392632,0.0146341258555,0.0116612320798,0.428330263966,-13.8536345627,-3.0801612163,74,0,0
holdout,20,B2,all,733,9,724,0.012278308322,1,0.0847515472521,0.0147373661273,0.0143229604054,0.558317986495,-4.05108615104,0.101027589889,74,0,0
