scope,horizon_days,baseline,probability_bucket,rows,event_days,event_episodes,predicted_probability_min,predicted_probability_mean,predicted_probability_max,realized_event_rate
development,5,B0,1,3019,350,74,0.0297265160523,0.0471305974261,0.0645001240387,0.115932427956
development,5,B0,2,1509,66,26,0.0766871165644,0.0766871165644,0.0766871165644,0.0437375745527
development,5,B1,1,453,10,7,0.0133760804139,0.0152416132983,0.017236555995,0.0220750551876
development,5,B1,2,453,20,5,0.0172371661515,0.0201861855288,0.0228386989887,0.0441501103753
development,5,B1,3,453,2,2,0.0228440422827,0.0246911593594,0.0269476797418,0.00441501103753
development,5,B1,4,452,9,4,0.0269530018665,0.0292165919318,0.030606692696,0.0199115044248
development,5,B1,5,453,16,9,0.030609162657,0.0329196008778,0.0367080180226,0.0353200883002
development,5,B1,6,453,25,12,0.036708195571,0.0440187732087,0.0541559938588,0.0551876379691
development,5,B1,7,452,50,13,0.0542157270733,0.0687610627425,0.0801929398435,0.110619469027
development,5,B1,8,453,79,22,0.0802048872155,0.100744926948,0.130504079321,0.174392935982
development,5,B1,9,453,57,16,0.130692645288,0.213798160065,0.334526740678,0.12582781457
development,5,B1,10,453,148,20,0.335847021031,0.668526959473,0.999115661236,0.326710816777
development,5,B2,1,453,3,3,3.65304012002e-05,0.00259179240817,0.00522384350283,0.00662251655629
development,5,B2,2,453,15,9,0.00522921358747,0.00710884722738,0.00879803400415,0.0331125827815
development,5,B2,3,453,14,6,0.00879895696654,0.0104712684539,0.0123689855147,0.0309050772627
development,5,B2,4,452,7,4,0.0123714730053,0.0151196205824,0.0183514540112,0.0154867256637
development,5,B2,5,453,16,10,0.0183534888958,0.0235941777465,0.0295401335019,0.0353200883002
development,5,B2,6,453,26,15,0.0295425816652,0.0384428911869,0.0498649557561,0.0573951434879
development,5,B2,7,452,28,20,0.0498909190655,0.0709563214612,0.103630911515,0.0619469026549
development,5,B2,8,453,77,24,0.104012126347,0.201768633609,0.443286625542,0.169977924945
development,5,B2,9,453,84,23,0.445377569891,0.853925395202,0.991819031538,0.185430463576
development,5,B2,10,453,146,23,0.991828398188,0.998508173663,0.999999982272,0.32229580574
development,20,B0,1,3019,351,25,0.0247208931419,0.0420090830073,0.0592629482072,0.116263663465
development,20,B0,2,1509,53,9,0.0727338519993,0.0727338519993,0.0727338519993,0.0351225977469
development,20,B1,1,453,1,1,0.00978828201806,0.011291645573,0.0129094176702,0.00220750551876
development,20,B1,2,453,18,2,0.0129136139278,0.0154069625736,0.0178053165871,0.0397350993377
development,20,B1,3,453,0,0,0.0178075530226,0.019329799779,0.0213496664038,0
development,20,B1,4,452,8,1,0.0213549718057,0.0234216873571,0.0247250922953,0.0176991150442
development,20,B1,5,453,2,2,0.0247295784587,0.0267045804445,0.0299868490824,0.00441501103753
development,20,B1,6,453,13,4,0.0300026772471,0.0366994319809,0.0462458890323,0.0286975717439
development,20,B1,7,452,80,6,0.0462538294543,0.0615454124321,0.0746365093771,0.176991150442
development,20,B1,8,453,73,9,0.0746377916682,0.0945251968694,0.123657373286,0.16114790287
development,20,B1,9,453,37,7,0.12373653035,0.208536700013,0.335133724144,0.0816777041943
development,20,B1,10,453,172,9,0.335213232688,0.667991795647,0.998179524438,0.379690949227
development,20,B2,1,453,14,3,1.66715736659e-13,1.25388057797e-06,1.41891823907e-05,0.0309050772627
development,20,B2,2,453,27,5,1.44622785719e-05,0.000559086308455,0.00119051014482,0.0596026490066
development,20,B2,3,453,7,4,0.00119061551131,0.00177968222991,0.00245392277554,0.0154525386313
development,20,B2,4,452,27,7,0.00245455602989,0.00346366709991,0.00470520189984,0.0597345132743
development,20,B2,5,453,14,5,0.00471218515602,0.00677824786055,0.00941996816861,0.0309050772627
development,20,B2,6,453,16,5,0.0094237253724,0.01382591627,0.0193518436784,0.0353200883002
development,20,B2,7,452,26,9,0.0193557158079,0.0279434540275,0.0392931735744,0.0575221238938
development,20,B2,8,453,59,9,0.0396600723689,0.0575152283838,0.0835000744102,0.130242825607
development,20,B2,9,453,62,11,0.0835300618509,0.233494697847,0.613341558906,0.136865342163
development,20,B2,10,453,152,8,0.618969619428,0.931642133143,0.999999367075,0.335540838852
holdout,5,B0,1,748,31,17,0.0771608607776,0.0771608607776,0.0771608607776,0.0414438502674
holdout,5,B1,1,75,2,2,0.042153581367,0.0428344400965,0.0431577223636,0.0266666666667
holdout,5,B1,2,75,1,1,0.0431644185221,0.0435660979712,0.0439724019677,0.0133333333333
holdout,5,B1,3,75,0,0,0.0439986828397,0.0443463407629,0.0446902232754,0
holdout,5,B1,4,74,4,2,0.0447153853982,0.045400335682,0.046284739131,0.0540540540541
holdout,5,B1,5,75,4,2,0.0463256770914,0.0468803595754,0.0473349037191,0.0533333333333
holdout,5,B1,6,75,1,1,0.0473350178168,0.0475787600105,0.0483209638253,0.0133333333333
holdout,5,B1,7,74,1,1,0.0484192974559,0.0501461632273,0.0597984089781,0.0135135135135
holdout,5,B1,8,75,8,3,0.0599982040617,0.0813964540768,0.0871290652143,0.106666666667
holdout,5,B1,9,75,6,3,0.0871833515952,0.0942090606693,0.106713102264,0.08
holdout,5,B1,10,75,4,3,0.10678070354,0.109116065437,0.118582018872,0.0533333333333
holdout,5,B2,1,75,1,1,0.017449934249,0.0239435323734,0.0264250161781,0.0133333333333
holdout,5,B2,2,75,3,2,0.0266620154931,0.028632860376,0.030899333239,0.04
holdout,5,B2,3,75,1,1,0.0309547133861,0.034121802055,0.0371408336216,0.0133333333333
holdout,5,B2,4,74,1,1,0.0371515408694,0.0393658253111,0.0415536148316,0.0135135135135
holdout,5,B2,5,75,2,1,0.0416113131443,0.0438231809383,0.0463521035927,0.0266666666667
holdout,5,B2,6,75,1,1,0.0464222873365,0.0505057383646,0.0542690037223,0.0133333333333
holdout,5,B2,7,74,8,5,0.054331790116,0.057677857,0.0612244437983,0.108108108108
holdout,5,B2,8,75,2,2,0.0612851302124,0.0644064061865,0.0688236239927,0.0266666666667
holdout,5,B2,9,75,6,4,0.0688549920068,0.0742831604189,0.0819281471334,0.08
holdout,5,B2,10,75,6,3,0.0820589789536,0.151053997642,0.251758583961,0.08
holdout,20,B0,1,733,9,1,0.0730109575989,0.0730109575989,0.0730109575989,0.012278308322
holdout,20,B1,1,74,0,0,0.0368871424091,0.0374976419237,0.0377884444405,0
holdout,20,B1,2,73,0,0,0.0377934132819,0.038142138352,0.0385169558287,0
holdout,20,B1,3,73,0,0,0.0385263335684,0.0388337700546,0.0391172788371,0
holdout,20,B1,4,73,1,1,0.0391311909272,0.0397097384238,0.0405513672527,0.013698630137
holdout,20,B1,5,74,8,1,0.0405790151385,0.0411337959677,0.0416031484344,0.108108108108
holdout,20,B1,6,73,0,0,0.0416080690427,0.0418843758848,0.0426906418914,0
holdout,20,B1,7,73,0,0,0.0427271852241,0.0450493305269,0.0616668162822,0
holdout,20,B1,8,73,0,0,0.0670749817547,0.074173882741,0.0784543388742,0
holdout,20,B1,9,73,0,0,0.078460426685,0.0844386627793,0.0944239364877,0
holdout,20,B1,10,74,0,0,0.094466363082,0.0971265592581,0.107985982516,0
holdout,20,B2,1,74,0,0,0.00790589081924,0.0118841763165,0.014821931818,0
holdout,20,B2,2,73,0,0,0.0148384877653,0.0169573718339,0.0184867468984,0
holdout,20,B2,3,73,0,0,0.0185826096938,0.020173600462,0.0218817923807,0
holdout,20,B2,4,73,2,1,0.0219019010275,0.0243545912378,0.0264245933924,0.027397260274
holdout,20,B2,5,74,1,1,0.0264551904229,0.0297948289447,0.0321623112176,0.0135135135135
holdout,20,B2,6,73,2,1,0.0321883584038,0.034898081508,0.0375438097689,0.027397260274
holdout,20,B2,7,73,1,1,0.0375517199858,0.0397870373481,0.042130388274,0.013698630137
holdout,20,B2,8,73,3,1,0.0422951332542,0.0470512701419,0.051983110344,0.041095890411
holdout,20,B2,9,73,0,0,0.0521996647349,0.0572357030784,0.0632749770914,0
holdout,20,B2,10,74,0,0,0.0634262655455,0.13745587987,0.263911249777,0
