portfolio_role,formation_date,effective_month,symbol,leg,weight,momentum_return,price_momentum_rank,signal_start_date,signal_end_date,rankable_universe,membership_status,survivorship_bias
active_risk_portfolio,2026-04-30,2026-05,SNDK,long,0.1,18.78635984985466,1,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,LITE,long,0.1,10.903116511991808,2,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,WDC,long,0.1,5.193742793945009,3,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,CIEN,long,0.1,4.780672868029658,4,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,ECHO,long,0.1,4.207740305993707,5,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,MU,long,0.1,3.400892254441417,6,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,STX,long,0.1,3.3591042493556555,7,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,TER,long,0.1,3.0096861088386566,8,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,COHR,long,0.1,2.703513803546174,9,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,FIX,long,0.1,2.478517256221206,10,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,BAX,short,-0.1,-0.45365933730743246,491,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,CPRT,short,-0.1,-0.456005219941085,492,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,CSGP,short,-0.1,-0.45611431645581335,493,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,FICO,short,-0.1,-0.4634614559906559,494,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
active_risk_portfolio,2026-04-30,2026-05,WDAY,short,-0.1,-0.4697142931879783,495,2025-04-30,2026-03-31,500,current_snapshot_proxy,True
