scope,horizon_days,baseline,split_id,feature,coefficient_standardized
development,5,B0,dev_00,__intercept_log_odds__,-3.4855385301
development,5,B1,dev_00,bear_state,0
development,5,B1,dev_00,mkt_variance_126d,0.76072969832
development,5,B1,dev_00,bear_x_mkt_variance_126d,0
development,5,B1,dev_00,__intercept__,-3.85840029686
development,5,B2,dev_00,mom_return_21d,0.573851918764
development,5,B2,dev_00,mom_return_63d,0.00102434853546
development,5,B2,dev_00,mom_return_126d,-0.384865224269
development,5,B2,dev_00,mom_drawdown_252d,1.08992534372
development,5,B2,dev_00,mom_vol_21d,0.358533322659
development,5,B2,dev_00,mom_vol_63d,1.10213234122
development,5,B2,dev_00,vix_close,-0.355788780324
development,5,B2,dev_00,mkt_return_504d,-0.864841599149
development,5,B2,dev_00,bear_state,0
development,5,B2,dev_00,mkt_variance_126d,-0.619707947833
development,5,B2,dev_00,bear_x_mkt_variance_126d,0
development,5,B2,dev_00,mkt_vol_percentile_126d,0.437399450197
development,5,B2,dev_00,mkt_return_1d,-0.134887683042
development,5,B2,dev_00,mkt_return_5d,0.413713955466
development,5,B2,dev_00,mkt_return_20d,0.260780408601
development,5,B2,dev_00,stress_rebound,0
development,5,B2,dev_00,loser_leg_return_5d,0.0578575656158
development,5,B2,dev_00,loser_leg_return_20d,0.152463105891
development,5,B2,dev_00,loser_leg_vol_21d,1.1052348334
development,5,B2,dev_00,loser_minus_winner_vol_21d,0.32247329916
development,5,B2,dev_00,formation_spread,0.44654463717
development,5,B2,dev_00,mom_mkt_beta_126d,0.610023196671
development,5,B2,dev_00,mom_mkt_corr_126d,-0.916642468498
development,5,B2,dev_00,beta_change_21d,0.584006030074
development,5,B2,dev_00,__intercept__,-5.43126982678
development,5,B0,dev_01,__intercept_log_odds__,-2.67441386624
development,5,B1,dev_01,bear_state,0.362361449259
development,5,B1,dev_01,mkt_variance_126d,0.981757192354
development,5,B1,dev_01,bear_x_mkt_variance_126d,-0.31827953583
development,5,B1,dev_01,__intercept__,-3.15896848651
development,5,B2,dev_01,mom_return_21d,0.389148039511
development,5,B2,dev_01,mom_return_63d,0.280215763525
development,5,B2,dev_01,mom_return_126d,0.0387475494439
development,5,B2,dev_01,mom_drawdown_252d,-0.267569192548
development,5,B2,dev_01,mom_vol_21d,0.540590706756
development,5,B2,dev_01,mom_vol_63d,-0.297328848496
development,5,B2,dev_01,vix_close,0.00922966543835
development,5,B2,dev_01,mkt_return_504d,0.0123314273925
development,5,B2,dev_01,bear_state,-0.565219819977
development,5,B2,dev_01,mkt_variance_126d,-0.131422815808
development,5,B2,dev_01,bear_x_mkt_variance_126d,0.586102288386
development,5,B2,dev_01,mkt_vol_percentile_126d,0.446676740115
development,5,B2,dev_01,mkt_return_1d,-0.0605959643524
development,5,B2,dev_01,mkt_return_5d,0.247978994434
development,5,B2,dev_01,mkt_return_20d,0.00990803658505
development,5,B2,dev_01,stress_rebound,-0.303122661515
development,5,B2,dev_01,loser_leg_return_5d,0.325917529142
development,5,B2,dev_01,loser_leg_return_20d,0.142810888183
development,5,B2,dev_01,loser_leg_vol_21d,0.584679733541
development,5,B2,dev_01,loser_minus_winner_vol_21d,-0.128166599771
development,5,B2,dev_01,formation_spread,0.262666285551
development,5,B2,dev_01,mom_mkt_beta_126d,0.53885259678
development,5,B2,dev_01,mom_mkt_corr_126d,-0.922787094084
development,5,B2,dev_01,beta_change_21d,0.156225179641
development,5,B2,dev_01,__intercept__,-3.5981870921
development,5,B0,dev_02,__intercept_log_odds__,-2.48823443988
development,5,B1,dev_02,bear_state,0.671880135732
development,5,B1,dev_02,mkt_variance_126d,1.54553311333
development,5,B1,dev_02,bear_x_mkt_variance_126d,-1.22308187647
development,5,B1,dev_02,__intercept__,-2.86858842665
development,5,B2,dev_02,mom_return_21d,0.301035709065
development,5,B2,dev_02,mom_return_63d,0.279395993797
development,5,B2,dev_02,mom_return_126d,-0.0711753790001
development,5,B2,dev_02,mom_drawdown_252d,-0.482266455788
development,5,B2,dev_02,mom_vol_21d,0.902115262027
development,5,B2,dev_02,mom_vol_63d,-0.269698895087
development,5,B2,dev_02,vix_close,0.369378968447
development,5,B2,dev_02,mkt_return_504d,-0.409941400863
development,5,B2,dev_02,bear_state,-0.274093491365
development,5,B2,dev_02,mkt_variance_126d,-0.62904802462
development,5,B2,dev_02,bear_x_mkt_variance_126d,0.587295972603
development,5,B2,dev_02,mkt_vol_percentile_126d,0.498303788758
development,5,B2,dev_02,mkt_return_1d,0.00881219982678
development,5,B2,dev_02,mkt_return_5d,0.273658060522
development,5,B2,dev_02,mkt_return_20d,0.217302220008
development,5,B2,dev_02,stress_rebound,-0.167051493684
development,5,B2,dev_02,loser_leg_return_5d,0.0715412403708
development,5,B2,dev_02,loser_leg_return_20d,-0.04273222794
development,5,B2,dev_02,loser_leg_vol_21d,-0.165092532908
development,5,B2,dev_02,loser_minus_winner_vol_21d,-0.234346703349
development,5,B2,dev_02,formation_spread,0.555232423473
development,5,B2,dev_02,mom_mkt_beta_126d,0.27672021435
development,5,B2,dev_02,mom_mkt_corr_126d,-0.505652864995
development,5,B2,dev_02,beta_change_21d,-0.134447851585
development,5,B2,dev_02,__intercept__,-3.27596469951
development,20,B0,dev_00,__intercept_log_odds__,-3.6750749312
development,20,B1,dev_00,bear_state,0
development,20,B1,dev_00,mkt_variance_126d,0.828517694366
development,20,B1,dev_00,bear_x_mkt_variance_126d,0
development,20,B1,dev_00,__intercept__,-4.13951666984
development,20,B2,dev_00,mom_return_21d,0.0800279267014
development,20,B2,dev_00,mom_return_63d,-1.39302841408
development,20,B2,dev_00,mom_return_126d,-0.033163980745
development,20,B2,dev_00,mom_drawdown_252d,2.73155291967
development,20,B2,dev_00,mom_vol_21d,0.340758908243
development,20,B2,dev_00,mom_vol_63d,1.31822396723
development,20,B2,dev_00,vix_close,2.06036981271
development,20,B2,dev_00,mkt_return_504d,-0.111258113269
development,20,B2,dev_00,bear_state,0
development,20,B2,dev_00,mkt_variance_126d,-1.50089550274
development,20,B2,dev_00,bear_x_mkt_variance_126d,0
development,20,B2,dev_00,mkt_vol_percentile_126d,-0.381598824588
development,20,B2,dev_00,mkt_return_1d,0.0385705627609
development,20,B2,dev_00,mkt_return_5d,0.33650905245
development,20,B2,dev_00,mkt_return_20d,0.50721039419
development,20,B2,dev_00,stress_rebound,0
development,20,B2,dev_00,loser_leg_return_5d,0.00578971779122
development,20,B2,dev_00,loser_leg_return_20d,-0.414104359417
development,20,B2,dev_00,loser_leg_vol_21d,0.135573763161
development,20,B2,dev_00,loser_minus_winner_vol_21d,0.517346106302
development,20,B2,dev_00,formation_spread,1.57731746201
development,20,B2,dev_00,mom_mkt_beta_126d,0.344637994524
development,20,B2,dev_00,mom_mkt_corr_126d,-1.52963153154
development,20,B2,dev_00,beta_change_21d,0.419752708301
development,20,B2,dev_00,__intercept__,-7.40863833122
development,20,B0,dev_01,__intercept_log_odds__,-2.76467937439
development,20,B1,dev_01,bear_state,0.538256269323
development,20,B1,dev_01,mkt_variance_126d,1.07408897864
development,20,B1,dev_01,bear_x_mkt_variance_126d,-0.469763609796
development,20,B1,dev_01,__intercept__,-3.35505908392
development,20,B2,dev_01,mom_return_21d,0.558348651602
development,20,B2,dev_01,mom_return_63d,0.199296623627
development,20,B2,dev_01,mom_return_126d,-0.131203822969
development,20,B2,dev_01,mom_drawdown_252d,-0.137798156521
development,20,B2,dev_01,mom_vol_21d,0.612758064372
development,20,B2,dev_01,mom_vol_63d,-0.291741470324
development,20,B2,dev_01,vix_close,0.948442475938
development,20,B2,dev_01,mkt_return_504d,0.464472273567
development,20,B2,dev_01,bear_state,-0.356283805945
development,20,B2,dev_01,mkt_variance_126d,-0.785710523736
development,20,B2,dev_01,bear_x_mkt_variance_126d,0.776589552213
development,20,B2,dev_01,mkt_vol_percentile_126d,0.481863799229
development,20,B2,dev_01,mkt_return_1d,0.00149794401068
development,20,B2,dev_01,mkt_return_5d,0.187742243844
development,20,B2,dev_01,mkt_return_20d,0.173330850065
development,20,B2,dev_01,stress_rebound,-0.107340082228
development,20,B2,dev_01,loser_leg_return_5d,0.0848488029821
development,20,B2,dev_01,loser_leg_return_20d,0.316274992432
development,20,B2,dev_01,loser_leg_vol_21d,0.69010251491
development,20,B2,dev_01,loser_minus_winner_vol_21d,-0.765979706328
development,20,B2,dev_01,formation_spread,0.545977105133
development,20,B2,dev_01,mom_mkt_beta_126d,0.957097420371
development,20,B2,dev_01,mom_mkt_corr_126d,-1.85652824846
development,20,B2,dev_01,beta_change_21d,-0.255895229677
development,20,B2,dev_01,__intercept__,-4.28013759112
development,20,B0,dev_02,__intercept_log_odds__,-2.54543371539
development,20,B1,dev_02,bear_state,0.702666436026
development,20,B1,dev_02,mkt_variance_126d,1.69872539206
development,20,B1,dev_02,bear_x_mkt_variance_126d,-1.27555934354
development,20,B1,dev_02,__intercept__,-3.02941727212
development,20,B2,dev_02,mom_return_21d,0.594302843517
development,20,B2,dev_02,mom_return_63d,0.236503312477
development,20,B2,dev_02,mom_return_126d,-0.0191953089161
development,20,B2,dev_02,mom_drawdown_252d,-0.743878668037
development,20,B2,dev_02,mom_vol_21d,1.27169268563
development,20,B2,dev_02,mom_vol_63d,-0.734445005313
development,20,B2,dev_02,vix_close,0.953512136329
development,20,B2,dev_02,mkt_return_504d,-0.0999822912415
development,20,B2,dev_02,bear_state,-0.336619980004
development,20,B2,dev_02,mkt_variance_126d,-0.725575091304
development,20,B2,dev_02,bear_x_mkt_variance_126d,0.914203744329
development,20,B2,dev_02,mkt_vol_percentile_126d,0.232007036828
development,20,B2,dev_02,mkt_return_1d,0.0262677840302
development,20,B2,dev_02,mkt_return_5d,0.0417599388564
development,20,B2,dev_02,mkt_return_20d,0.396734167521
development,20,B2,dev_02,stress_rebound,0.02985728319
development,20,B2,dev_02,loser_leg_return_5d,0.100441758766
development,20,B2,dev_02,loser_leg_return_20d,0.0457622063777
development,20,B2,dev_02,loser_leg_vol_21d,-0.267570490314
development,20,B2,dev_02,loser_minus_winner_vol_21d,-0.772995741081
development,20,B2,dev_02,formation_spread,0.754092387303
development,20,B2,dev_02,mom_mkt_beta_126d,0.452939855096
development,20,B2,dev_02,mom_mkt_corr_126d,-1.26033646826
development,20,B2,dev_02,beta_change_21d,-0.505199895327
development,20,B2,dev_02,__intercept__,-3.67635861937
