sector,eligible_count,eligible_security_count,usable_company_facts,revenue_available,eps_available,operating_margin_applicable,operating_margin_available,two_of_three_covered,two_of_three_ratio,universe_coverage_status,revenue_peer_group_status,eps_peer_group_status,operating_margin_peer_group_status,acquisition_complete,feasibility_status
Basic Materials,5,5,5,5,1,5,3,4,0.8,normal,degraded,unavailable,unavailable,True,assessable
Consumer Discretionary,101,102,101,90,8,101,80,77,0.7623762376237624,degraded,normal,degraded,normal,True,assessable
Consumer Staples,19,19,19,13,2,19,12,11,0.5789473684210527,insufficient,normal,unavailable,normal,True,assessable
Energy,16,16,16,13,0,16,6,6,0.375,insufficient,normal,unavailable,degraded,True,assessable
Finance,68,68,68,57,1,0,0,1,0.014705882352941176,insufficient,normal,unavailable,unavailable,True,assessable
Health Care,54,54,54,53,2,54,45,45,0.8333333333333334,normal,normal,unavailable,normal,True,assessable
Industrials,83,84,83,75,3,83,70,67,0.8072289156626506,normal,normal,unavailable,normal,True,assessable
Real Estate,28,28,28,26,3,0,0,3,0.10714285714285714,insufficient,normal,unavailable,unavailable,True,assessable
Technology,74,75,74,72,2,74,66,66,0.8918918918918919,normal,normal,unavailable,normal,True,assessable
Telecommunications,9,9,9,8,0,9,8,8,0.8888888888888888,normal,degraded,unavailable,degraded,True,assessable
UNCLASSIFIED,3,3,3,3,0,3,2,2,0.6666666666666666,degraded,unavailable,unavailable,unavailable,True,assessable
Utilities,37,37,37,34,1,37,32,32,0.8648648648648649,normal,normal,unavailable,normal,True,assessable
