scope,horizon_days,rows,event_days,event_rate,model,log_loss,brier_score,pr_auc,roc_auc,episode_capture,episodes_captured,episodes_evaluable,approximate_lead_time_trading_days,retrospective_top_decile_threshold,log_loss_difference_ci_lower_95,log_loss_difference_ci_upper_95,bootstrap_block_length,bootstrap_replications
development,5,1256,140,0.111464968153,B2c,0.897445566468,0.116049651041,0.151704962954,0.515341781874,0.277777777778,15,54,2.73333333333,0.293802056326,,,,
development,5,1256,140,0.111464968153,B3,0.928178793618,0.119033483549,0.146734545587,0.513594470046,0.277777777778,15,54,2.4,0.312508810534,,,,
development,5,1256,140,0.111464968153,difference_B3_minus_B2c,0.0307332271499,0.00298383250754,-0.00497041736649,-0.00174731182796,0,,54,,,0.0100992142041,0.0558967654735,20,2000
development,20,1256,123,0.0979299363057,B2c,2.27274982493,0.219533331382,0.177191247547,0.640080654999,0.315789473684,6,19,1.33333333333,0.999884889554,,,,
development,20,1256,123,0.0979299363057,B3,2.23457246272,0.222445689111,0.17885820927,0.641813589363,0.315789473684,6,19,1.33333333333,0.999697141581,,,,
development,20,1256,123,0.0979299363057,difference_B3_minus_B2c,-0.0381773622137,0.0029123577288,0.00166696172292,0.00173293436377,0,,19,,,-0.0920245904347,0.00811844823061,20,2000
final_test,5,223,11,0.0493273542601,B2c,0.248933700899,0.0746401506957,0.191254460524,0.737993138937,0.166666666667,1,6,1,0.457686395281,,,,
final_test,5,223,11,0.0493273542601,B3,0.246821116938,0.0736939428223,0.135295547875,0.73885077187,0.166666666667,1,6,1,0.448619501233,,,,
final_test,5,223,11,0.0493273542601,difference_B3_minus_B2c,-0.00211258396138,-0.000946207873386,-0.055958912649,0.000857632933105,0,,6,,,-0.00611106007433,0.00121721776806,20,2000
final_test,20,208,0,0,B2c,0.214333664177,0.0673807411932,,,,0,0,,0.208069953076,,,,
final_test,20,208,0,0,B3,0.215317306331,0.0677626796488,,,,0,0,,0.199093607095,,,,
final_test,20,208,0,0,difference_B3_minus_B2c,0.000983642153735,0.000381938455594,,,,,0,,,-0.00107238958604,0.00420397212239,20,2000
