formation_date,formation_month,effective_month,symbol,leg,weight,momentum_return,price_momentum_rank,signal_start_date,signal_start_close,signal_end_date,signal_end_close,rankable_universe,n_long,n_short,membership_status,survivorship_bias
2023-12-29,2023-12,2024-01,CVNA,long,0.1,5.607594775942182,1,2022-12-30,0.9480000138282776,2023-11-30,6.263999938964844,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,APP,long,0.1,2.5593542728097303,2,2022-12-30,10.529999732971191,2023-11-30,37.47999954223633,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,COIN,long,0.1,2.5241594623249326,3,2022-12-30,35.38999938964844,2023-11-30,124.72000122070312,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,SMCI,long,0.1,2.3309378800249836,4,2022-12-30,8.210000038146973,2023-11-30,27.347000122070312,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,NVDA,long,0.1,2.201494161152085,5,2022-12-30,14.5816011428833,2023-11-30,46.68291091918945,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,VRT,long,0.1,2.196193269316064,6,2022-12-30,13.610624313354492,2023-11-30,43.5021858215332,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,PLTR,long,0.1,2.1230528035499265,7,2022-12-30,6.420000076293945,2023-11-30,20.049999237060547,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,META,long,0.1,1.7185478029879326,8,2022-12-30,119.29241180419922,2023-11-30,324.3021240234375,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,UBER,long,0.1,1.2798221638388596,9,2022-12-30,24.729999542236328,2023-11-30,56.380001068115234,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,CRWD,long,0.1,1.2508310706854084,10,2022-12-30,26.322500228881836,2023-11-30,59.247501373291016,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,INCY,short,-0.1,-0.3234561708285274,486,2022-12-30,80.31999969482422,2023-11-30,54.34000015258789,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,PODD,short,-0.1,-0.3576888245897092,487,2022-12-30,294.3900146484375,2023-11-30,189.08999633789062,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,RVTY,short,-0.1,-0.3645443737178282,488,2022-12-30,138.86672973632812,2023-11-30,88.24364471435547,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,ECHO,short,-0.1,-0.3723021537487633,489,2022-12-30,16.68000030517578,2023-11-30,10.470000267028809,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,PFE,short,-0.1,-0.37836655602628133,490,2022-12-30,40.961421966552734,2023-11-30,25.462989807128906,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,AES,short,-0.1,-0.38201218656565883,491,2022-12-30,24.602497100830078,2023-11-30,15.2040433883667,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,ALB,short,-0.1,-0.4375372854009817,492,2022-12-30,206.36077880859375,2023-11-30,116.07024383544922,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,DG,short,-0.1,-0.46119478387483104,493,2022-12-30,229.3970489501953,2023-11-30,123.60032653808594,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,EL,short,-0.1,-0.47729636438620815,494,2022-12-30,233.20265197753906,2023-11-30,121.8958740234375,495,10,10,current_snapshot_proxy,True
2023-12-29,2023-12,2024-01,MRNA,short,-0.1,-0.5674201143500242,495,2022-12-30,179.6199951171875,2023-11-30,77.69999694824219,495,10,10,current_snapshot_proxy,True
