episode_id,start_date,end_date,trading_days,high_volatility_recovery_days,long_net_contribution,short_net_contribution,portfolio_net_contribution,short_loss_magnitude,long_loss_magnitude,short_share_of_gross_leg_losses,minimum_portfolio_drawdown,contribution_reconciliation_error,membership_status,survivorship_bias
1,2018-12-26,2019-01-02,5,5,0.09080086765602982,-0.09430845632346574,-0.0035075886674359458,0.0956778139438676,0.008267592204133426,0.9204621684544506,-0.18048531351756825,2.7755575615628914e-17,current_snapshot_proxy,True
2,2019-01-04,2019-03-27,57,20,0.34211300745944906,-0.16055802492458038,0.18155498253486863,0.45237490236885636,0.22619990127414966,0.6666544350604093,-0.19311006124576569,5.551115123125783e-17,current_snapshot_proxy,True
3,2020-03-13,2020-03-13,1,1,0.0787016754084274,-0.14984357093492204,-0.07114189552649464,0.14984357093492204,0.0,1.0,-0.0909897842884666,0.0,current_snapshot_proxy,True
4,2020-03-17,2020-03-17,1,1,0.028075797150446013,-0.008898633719565417,0.019177163430880596,0.008898633719565417,0.0,1.0,-0.09986167844453309,0.0,current_snapshot_proxy,True
5,2020-03-24,2020-06-22,63,63,0.5277244918350116,-0.8041166933953592,-0.27639220156034766,1.8278014414328132,0.5118856150682696,0.781216204258626,-0.507673644188812,0.0,current_snapshot_proxy,True
6,2022-05-27,2022-06-08,8,8,0.018369500849698274,-0.039167941462485215,-0.02079844061278694,0.14614783932958963,0.028298439886249666,0.8377813501471332,-0.2160569106019241,0.0,current_snapshot_proxy,True
7,2022-06-24,2022-06-27,2,2,0.0523279232708981,-0.03223108441308588,0.020096838857812216,0.06730441283381433,0.0,1.0,-0.3292799469281933,6.938893903907228e-18,current_snapshot_proxy,True
8,2022-07-05,2022-07-11,5,5,-0.032005463802685014,-0.027113880683974703,-0.059119344486659696,0.1341468950710672,0.08133783529703678,0.6225355032902303,-0.34243470340789084,2.0816681711721685e-17,current_snapshot_proxy,True
9,2022-07-15,2022-09-16,45,42,0.24920429541977254,-0.2630603755538551,-0.013856080134082557,0.8630792849316179,0.31586593706813093,0.732077512021845,-0.46819201551356004,0.0,current_snapshot_proxy,True
10,2022-10-04,2022-10-05,2,2,0.05811559711289103,-0.05607466517741714,0.0020409319354738886,0.07114129786529866,0.0,1.0,-0.28688090106753306,0.0,current_snapshot_proxy,True
11,2022-10-24,2022-11-01,7,7,0.04725841555539448,-0.043020890721626875,0.004237524833767613,0.09052086931641468,0.0,1.0,-0.2066251033869103,6.938893903907228e-18,current_snapshot_proxy,True
12,2022-11-04,2022-11-08,3,3,0.02649337734768197,0.06212879822120874,0.08862217556889071,0.0,0.0,,-0.10069673513851907,6.938893903907228e-18,current_snapshot_proxy,True
13,2022-11-10,2022-12-27,32,32,0.004580535838372288,0.0767562620149542,0.08133679785332648,0.49028576691914727,0.22733972313789413,0.6832056186858361,-0.21867640465911709,0.0,current_snapshot_proxy,True
14,2022-12-29,2023-01-17,12,11,0.046368456751580696,-0.26142296296310513,-0.2150545062115245,0.3196213451148916,0.046905391506007366,0.8720273671207732,-0.22577199996319564,5.551115123125783e-17,current_snapshot_proxy,True
